CITY,SCRAPE,ID,URL
Avanigadda,N,302,https://cricheroes.in/past-matches/302/Avanigadda
Avinashi,N,3625,https://cricheroes.in/past-matches/3625/Avinashi
Awantipora,N,1517,https://cricheroes.in/past-matches/1517/Awantipora
Awka,N,20264,https://cricheroes.in/past-matches/20264/Awka
Azamgarh,N,4570,https://cricheroes.in/past-matches/4570/Azamgarh
Babarpur Ajitmal,N,4573,https://cricheroes.in/past-matches/4573/Babarpur%20Ajitmal
Babra,N,1073,https://cricheroes.in/past-matches/1073/Babra
Bachhraon,N,4579,https://cricheroes.in/past-matches/4579/Bachhraon
Bad Bentheim,N,17912,https://cricheroes.in/past-matches/17912/Bad%20Bentheim
Bad Sachsa,N,17923,https://cricheroes.in/past-matches/17923/Bad%20Sachsa
Badarpur,N,599,https://cricheroes.in/past-matches/599/Badarpur
Badarpur Railway Town,N,600,https://cricheroes.in/past-matches/600/Badarpur%20Railway%20Town
Baddi,N,1446,https://cricheroes.in/past-matches/1446/Baddi
Badlapur,N,2743,https://cricheroes.in/past-matches/2743/Badlapur
Badnagar,N,2339,https://cricheroes.in/past-matches/2339/Badnagar
Badnawar,N,2340,https://cricheroes.in/past-matches/2340/Badnawar
Bagalkot,N,1776,https://cricheroes.in/past-matches/1776/Bagalkot
Bagar,N,42,https://cricheroes.in/past-matches/42/Bagar
Bagasara,N,1075,https://cricheroes.in/past-matches/1075/Bagasara
Bagbahara,N,880,https://cricheroes.in/past-matches/880/Bagbahara
Bagepalli,N,1777,https://cricheroes.in/past-matches/1777/Bagepalli
Baghpat,N,4582,https://cricheroes.in/past-matches/4582/Baghpat
Bagli,N,2345,https://cricheroes.in/past-matches/2345/Bagli
Bagra,N,5335,https://cricheroes.in/past-matches/5335/Bagra
Bagru,N,43,https://cricheroes.in/past-matches/43/Bagru
Bagula,N,5336,https://cricheroes.in/past-matches/5336/Bagula
Bahadurgarh,N,1342,https://cricheroes.in/past-matches/1342/Bahadurgarh
Bahawalpur,N,13491,https://cricheroes.in/past-matches/13491/Bahawalpur
Baheri,N,4585,https://cricheroes.in/past-matches/4585/Baheri
Bahraich,N,4587,https://cricheroes.in/past-matches/4587/Bahraich
Bahror,N,44,https://cricheroes.in/past-matches/44/Bahror
Baidyabati,N,5340,https://cricheroes.in/past-matches/5340/Baidyabati
Baihar,N,2346,https://cricheroes.in/past-matches/2346/Baihar
Baikunthpur (Chhattisgarh),N,881,https://cricheroes.in/past-matches/881/Baikunthpur%20(Chhattisgarh)
Baindur,N,1779,https://cricheroes.in/past-matches/1779/Baindur
Bakani,N,45,https://cricheroes.in/past-matches/45/Bakani
Balaghat,N,2349,https://cricheroes.in/past-matches/2349/Balaghat
Balapur (Andhra Pradesh),N,305,https://cricheroes.in/past-matches/305/Balapur%20(Andhra%20Pradesh)
Balasinor,N,1079,https://cricheroes.in/past-matches/1079/Balasinor
Balasore,N,3213,https://cricheroes.in/past-matches/3213/Balasore
Balehonnur,N,5740,https://cricheroes.in/past-matches/5740/Balehonnur
Baleshwar,N,3214,https://cricheroes.in/past-matches/3214/Baleshwar
Balgowlah,N,18923,https://cricheroes.in/past-matches/18923/Balgowlah
Bali,N,46,https://cricheroes.in/past-matches/46/Bali
Baliapur,N,1596,https://cricheroes.in/past-matches/1596/Baliapur
Baliari,N,1597,https://cricheroes.in/past-matches/1597/Baliari
Ballabgarh,N,1343,https://cricheroes.in/past-matches/1343/Ballabgarh
